Date,Day,Training Day,Days from Game,Week Structure,Turnaround,Training Group,Training Involvement,Opposition,Week Number,Session,Focus,Data Type,Position,Name,Period Name,Total Distance (m),Work Distance (m),+5m/s Distance (m),+6m/s Distance (m),+7m/s Distance (m),Individual High Speed Distance (m),60% Total Distance (m),70% Total Distance (m),80% Total Distance (m),90% Total Distance (Set 2) (m),Accel Decel Distance (m),Accel Distance (m),Accel Decel Efforts,Accel Efforts,Acceleration Metres/Minute,High Accel Distance (m),High Intensity Efforts 1,High Intensity Efforts 2,HSR Density,IMA Total,Individual High Metabolic Distance (m),50% Total Distance (Set 2) (m),60% Total Distance (Set 2) (m),70% Speed Total Distance (Set 2) (m),80% Speed Total Distance (Set 2) (m),Acceleration Density,Acceleration Density Index,Max Vel (% Max),Maximum Velocity (m/s),Meterage Per Minute,Player Load (1D Fwd),Player Load (2D),Player Load (Slow),Player Load Per Metre,Player Load Per Minute,Total Acceleration Load,Total Duration,Average Scrum Count (Session),Average Scrum Duration,Scrum Count,High Accel Total Distance (m),High Accel Total Effort Count,High Deccel  Total Distance (m),High Deccel Total Effort Count,Mod Accel Total Distance (m),Mod Accel Total Effort Count,Position Name,Equivalent Distance (m),High Speed Total Distance (m),Jog Total Distance (m),Abs Sprint Total Distance (m),Stride Total Distance (m),Top Speed 1 Total Distance (m),Top Speed 2 Total Distance (m),Top Speed 2 Total Effort Count,Top Speed 1 Total Effort Count,Stride Total Effort Count,60% Total Effort Count (Set 2),70% Total Effort Count (Set 2),80% Total Effort Count (Set 2),90% Total Effort Count (Set 2),Tackle Count,Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m),Deceleration B2-3 Distance (Gen 2) (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Acceleration B2-3 Distance (Gen 2) (m),Gen 2 Accel Distance (m),Max Acceleration,Max Deceleration,Deceleration B2-3 Total Efforts (Gen 2),Deceleration B2 Efforts (Gen 2),Deceleration B3 Efforts (Gen 2),Acceleration B2 Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Acceleration B2-3 Total Efforts (Gen 2),Individual High Speed/Min,Individual Sprint Metres/Min,60% Mtrs/Min,70% Mtrs/Min,High Speed Mtrs/Min
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,733,502,113,40,14,123,45,15,0,0,163,39,19,8,12,8,17,23,12,0,182,78,30,15,0,1,3,78,7.7,148,53,94,33,0,25,221,0,0,0,0,6,1,2,2,33,7,Back,0,73,256,14,133,0,0,0,0,14,5,2,0,0,22,2,0,2,6,0,6,6,3.4,-3.8,4,4,0,1,0,1,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,772,616,130,26,17,157,56,21,3,0,138,18,20,5,6,4,11,10,8,0,189,101,36,18,3,1,3,82,7.7,155,39,57,12,0,17,214,0,0,0,0,3,1,1,2,15,4,Back 3,0,105,344,17,142,0,0,0,0,15,5,1,1,0,2,1,0,1,3,0,3,3,3.4,-4.7,4,3,1,1,0,1,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,585,353,121,80,22,153,107,69,22,0,123,26,19,13,8,2,10,13,12,60,191,46,38,47,22,1,3,86,7.5,118,43,67,32,0,20,171,0,0,0,0,0,0,2,0,26,13,Outhalf,721,41,175,22,57,0,0,0,0,10,4,3,2,0,6,2,0,2,0,0,0,0,2.8,-3.2,2,2,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,138,91,0,0,0,0,0,0,0,0,62,38,16,16,18,5,2,2,0,6,38,0,0,0,0,1,7,38,4.1,67,8,12,7,0,9,93,0,0,0,0,5,2,0,0,33,14,Back 3,186,0,89,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,5,5,3.2,-2.1,0,0,0,2,0,2,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,166,85,0,0,0,0,0,0,0,0,58,29,12,11,15,3,1,1,0,0,32,0,0,0,0,1,5,41,4.1,80,11,19,10,0,13,85,0,0,0,0,3,1,0,0,26,10,Back,0,0,82,0,3,0,0,0,0,1,0,0,0,0,9,0,0,0,3,0,3,3,2.9,-2,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,115,72,0,0,0,0,0,0,0,0,59,28,13,11,14,2,0,0,0,0,29,0,0,0,0,1,7,43,4,56,7,10,5,0,8,85,0,0,0,0,2,0,0,0,26,11,Back 3,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2.8,-2.9,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,162,94,0,0,0,0,0,0,0,0,55,25,12,12,12,1,0,0,0,2,25,0,0,0,0,1,5,45,4,79,11,18,9,0,15,83,0,0,0,0,1,0,0,0,24,12,Outhalf,205,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.8,-1.5,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,139,85,0,0,0,0,0,0,0,0,58,33,14,14,16,0,0,0,0,1,33,0,0,0,0,1,6,35,3.8,69,8,12,7,0,9,89,0,0,0,0,0,0,0,0,32,14,Back 3,179,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,-1.8,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,161,74,0,0,0,0,0,0,0,0,55,27,13,10,14,5,1,1,0,0,29,0,0,0,0,1,5,42,4.2,80,11,19,12,0,13,85,0,0,0,0,5,1,0,0,21,9,Back,0,0,71,0,3,0,0,0,0,2,0,0,0,0,6,0,0,0,5,0,5,5,3.2,-2.6,0,0,0,1,0,1,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player3,period,126,81,0,0,0,0,0,0,0,0,51,29,14,14,14,0,0,0,0,0,29,0,0,0,0,1,7,39,3.7,63,7,10,5,0,8,82,0,0,0,0,0,0,0,0,28,14,Back 3,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-1.8,0,0,0,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Outhalf,Player4,period,145,85,0,0,0,3,0,0,0,0,54,22,13,10,12,2,1,2,0,15,27,3,0,0,0,1,6,51,4.5,72,11,17,10,0,14,83,0,0,0,0,2,1,0,1,21,9,Outhalf,198,0,77,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,3.7,-4,2,2,0,1,0,1,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Back 3,Player1,period,682,454,135,68,19,113,42,5,0,0,92,2,7,1,2,2,12,5,9,11,123,71,37,5,0,1,2,72,7.6,133,30,42,18,0,14,158,0,0,0,0,0,0,2,1,2,1,Back 3,769,66,249,19,70,0,0,0,0,7,3,1,0,0,0,2,0,2,0,0,0,0,2.4,-4,1,0,1,0,0,0,,,,,
07/04/19,Thursday,Day 4,#N/A,#N/A,#N/A,Err:508,Err:508,#N/A,#N/A,abc,abc,Period,Centre,Player2,period,839,612,145,60,11,156,63,15,0,0,178,38,12,8,10,11,18,22,12,0,209,94,47,15,0,1,3,78,7.7,164,60,106,33,0,27,227,0,0,0,0,9,2,2,0,29,6,Back,0,85,315,11,152,0,0,0,0,17,4,3,0,0,28,2,0,2,8,2,9,9,4.4,-4.1,1,0,1,2,1,3,,,,,
